FID,the_geom,OBJECTID,ECF_Code,ECF_Name,Status,Type,AdminCode,Beds_Open,Beds_Plan,Open_Date,Partner,Lead_Donor,Latitude,Longitude,Accuracy,Updated,LabPresent,Country,Comment
sle_heal_pt_unmeer_ebolacarefacilities.1,POINT (-13.280407348999972 8.42432100700006),0,SLE_0001,Goderich,Under Construction,ETU,SLE0401,0,100,2014-12-15T00:00:00,EMERGENCY,DFID,8.424321,-13.280407,WAERC Confirmed Coordinates,2014-11-29T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.2,POINT (-13.140651562999949 8.382141678000039),0,SLE_0002,Hastings,Under Construction,ETU,SLE0401,0,100,2014-12-08T00:00:00,RSLAF/KINGS,DFID,8.382142,-13.140652,WAERC Confirmed Coordinates,2014-11-29T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.3,POINT (-13.125850928999967 8.382704501000035),0,SLE_0004,Police Training Sch-Hastings 1,Open,ETU,SLE0401,120,120,1899-12-30T00:00:00,MOH / RSLAF,GOSL,8.382705,-13.125851,WAERC Confirmed Coordinates,2014-11-29T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.4,POINT (-13.086370684999963 8.257095484000047),0,SLE_0005,Kerry Town,Open,ETU,SLE0401,30,100,1899-12-30T00:00:00,Save the Children,DFID,8.257095,-13.086371,WAERC Confirmed Coordinates,2014-11-29T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.5,POINT (-12.76239 8.77665),0,SLE_0006,Port Loko ETU,Under Construction,ETU,SLE0204,0,100,2014-12-15T00:00:00,GOAL,DFID,8.77665,-12.76239,CDC Checked Coordinate,2014-12-01T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.6,POINT (-12.57656 8.69854),0,SLE_0007,Lunsar ETU,Open,ETU,SLE0204,8,75,2014-12-01T00:00:00,IMC,DFID/ECHO/OFDA,8.69854,-12.57656,CDC Checked Coordinate,2014-12-08T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.7,POINT (-12.412037406999957 8.176575114000059),0,SLE_0008,Moyamba ETU,Under Construction,ETU,SLE0303,0,100,2014-12-15T00:00:00,MDM,DFID,8.176575,-12.412037,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.8,POINT (-12.030972037999959 8.798044033000053),0,SLE_0009,Makeni TU,Under Construction,ETU,SLE0201,0,100,2014-12-08T00:00:00,IOM,DFID,8.798044,-12.030972,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.9,POINT (-13.14954849399993 8.386860908000074),0,SLE_0010,"China-SL Friendship Hospital ETU, Jui",Open,ETU,SLE0401,12,22,1899-12-30T00:00:00,Chinese CDC,China,8.386861,-13.149548,WAERC Confirmed Coordinates,2014-11-29T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.10,POINT (-13.265 8.403),0,SLE_0011,Lakka Hospital ETU,Open,ETU,SLE0401,12,12,1899-12-30T00:00:00,Emergency / MOH,,8.403,-13.265,WAERC Confirmed Coordinates,2014-11-29T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.11,POINT (-10.5576 8.29846),0,SLE_0012,Kailahun MSF,Open,ETU,SLE0101,72,100,1899-12-30T00:00:00,Canadian Outfit,Canadian Outfit,8.29846,-10.5576,MSF GPS,2014-11-19T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.12,POINT (-11.1156 8.005088),0,SLE_0013,Rural Kenema Field Hospital,Open,ETU,SLE0102,25,25,1899-12-30T00:00:00,IFRC,IFRC,8.005088,-11.1156,British Red Cross GPS,2014-11-26T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.13,POINT (-10.95946422999998 8.63389924200004),0,SLE_0014,Kono - Koidu Town,Under Construction,ETU,SLE0103,0,50,2014-11-30T00:00:00,Well Body/ Partners in Health,GOSL,8.633899,-10.959464,,2014-11-19T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.14,POINT (-11.6697 7.94104),0,SLE_0015,Bo Town MSF,Open,ETU,SLE0301,50,50,1899-12-30T00:00:00,CDC,CDC,7.94104,-11.6697,MSF GPS,2014-11-17T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.15,POINT (-13.073548 8.335621),0,SLE_0017,AHS - Waterloo Hospital,Open,ETU,SLE0401,62,62,2014-11-16T00:00:00,MOH,GOSL,8.335621,-13.073548,WAERC Confirmed Coordinates,2014-11-16T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.17,POINT (-12.058447 8.84611),0,SLE_0020,Magbenteh Hospital,Open,ETU,SLE0201,100,110,2014-11-15T00:00:00,MoH/Addax/AU/WHO,GOSL,8.84611,-12.058447,,2014-11-20T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.18,POINT (-13.008915 8.335112),0,SLE_0021,HIM - Newton,Planned,ETU,SLE0401,0,120,2015-01-15T00:00:00,?,UNMEER,8.335112,-13.008915,WAERC Confirmed Coordinates,2014-11-29T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.19,POINT (-13.125850928999967 8.382704501000035),0,SLE_0022,Police Training Sch-Hastings 2,Under Construction,ETU,SLE0401,0,200,2014-11-24T00:00:00,MOH/RSLAF,GOSL,8.382705,-13.125851,WAERC Confirmed Coordinates,2014-11-29T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.20,POINT (-12.7724 8.74984),0,SLE_0023,Maforki ETU,Open,ETU,SLE0204,44,80,1899-12-30T00:00:00,MoH / Plan,GOSL,8.74984,-12.7724,CDC Checked Coordinate,2014-12-01T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.94,POINT (-13.261242 8.464217),0,SLE_0109,34 Military Hospital,Open,ETU,SLE0402,30,30,2014-12-01T00:00:00,British Medical Team,MOD/RSLAF,8.464217,-13.261242,WAERC Confirmed Coordinates,2014-12-01T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.95,POINT (-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000),0,SLE_0110,Tonkolili ETU,Under Construction,ETU,SLE0205,0,100,2014-12-18T00:00:00,MSF,,0,0,,2014-12-08T00:00:00,,Sierra Leone,
